,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,176,4,0,0,176,8,0,0
3,3,166,9,0,0,166,18,0,0
4,4,151,12,3,0,151,24,9,0
5,5,138,17,4,0,138,34,12,0
6,6,132,20,4,0,132,40,12,0
7,7,123,23,5,0,123,46,15,0
8,8,113,26,5,1,113,52,15,4
9,9,113,26,5,1,113,52,15,4
10,10,109,28,5,1,109,56,15,4
11,11,101,29,7,1,101,58,21,4
12,12,89,29,10,1,89,60,30,4
13,13,85,29,11,1,85,61,33,4
14,14,83,29,11,1,83,61,35,4
15,15,72,33,10,2,72,71,32,8
