,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,173,4,1,0,173,8,3,0
4,4,162,8,2,0,162,16,6,0
5,5,154,11,0,2,154,22,0,8
6,6,151,12,0,2,151,24,0,9
7,7,145,12,2,2,145,24,6,9
8,8,136,14,3,2,136,29,9,10
9,9,134,15,3,2,134,31,9,10
10,10,129,17,3,2,129,35,9,11
11,11,124,18,4,2,124,37,12,11
12,12,114,21,4,2,114,45,12,13
13,13,112,19,5,2,112,42,17,13
14,14,106,20,5,3,106,44,17,17
15,15,102,19,4,5,102,41,13,28
