,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,161,11,0,0,161,23,0,0
5,5,152,15,0,0,152,32,0,0
6,6,148,17,0,0,148,36,0,0
7,7,142,18,1,0,142,39,3,0
8,8,132,21,2,0,132,46,6,0
9,9,130,22,2,0,130,48,6,0
10,10,126,22,3,0,126,47,11,0
11,11,122,23,3,0,122,51,11,0
12,12,109,29,3,0,109,64,11,0
13,13,108,25,5,0,108,56,20,0
14,14,101,27,6,0,101,60,23,0
15,15,95,29,5,1,95,65,20,4
