,Frame#,CTRn=1,CTRn=2,CTRn=3,CTRn=4,CTR1total,CTR2total,CTR3total,CTR4total
0,0,184,0,0,0,184,0,0,0
1,1,184,0,0,0,184,0,0,0
2,2,178,3,0,0,178,6,0,0
3,3,172,6,0,0,172,12,0,0
4,4,162,9,1,0,162,19,3,0
5,5,153,12,2,0,153,25,6,0
6,6,149,14,2,0,149,29,6,0
7,7,142,17,2,0,142,36,6,0
8,8,131,21,3,0,131,43,10,0
9,9,129,22,3,0,129,45,10,0
10,10,124,23,4,0,124,47,13,0
11,11,119,25,4,0,119,52,13,0
12,12,109,25,7,0,109,53,22,0
13,13,106,23,9,0,106,49,29,0
14,14,103,20,10,1,103,43,33,5
15,15,97,22,8,3,97,47,26,14
